## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141024.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141024.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141024.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 03:32:45 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1587	1335995	4106	2693	905	268193	0	0.200963	2865531

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.627363
3.0	2.020948
4.0	2.267869
5.0	2.422778
6.0	2.519962
7.0	2.580932
8.0	2.619182
9.0	2.643179
10.0	2.658233
11.0	2.667678
12.0	2.673603
13.0	2.677321
14.0	2.679653
15.0	2.681116
16.0	2.682034
17.0	2.682609
18.0	2.682971
19.0	2.683197
20.0	2.68334
21.0	2.683429
22.0	2.683485
23.0	2.68352
24.0	2.683542
25.0	2.683556
26.0	2.683564
27.0	2.68357
28.0	2.683573
29.0	2.683575
30.0	2.683577
31.0	2.683578
32.0	2.683578
33.0	2.683578
34.0	2.683579
35.0	2.683579
36.0	2.683579
37.0	2.683579
38.0	2.683579
39.0	2.683579
40.0	2.683579
41.0	2.683579
42.0	2.683579
43.0	2.683579
44.0	2.683579
45.0	2.683579
46.0	2.683579
47.0	2.683579
48.0	2.683579
49.0	2.683579
50.0	2.683579
51.0	2.683579
52.0	2.683579
53.0	2.683579
54.0	2.683579
55.0	2.683579
56.0	2.683579
57.0	2.683579
58.0	2.683579
59.0	2.683579
60.0	2.683579
61.0	2.683579
62.0	2.683579
63.0	2.683579
64.0	2.683579
65.0	2.683579
66.0	2.683579
67.0	2.683579
68.0	2.683579
69.0	2.683579
70.0	2.683579
71.0	2.683579
72.0	2.683579
73.0	2.683579
74.0	2.683579
75.0	2.683579
76.0	2.683579
77.0	2.683579
78.0	2.683579
79.0	2.683579
80.0	2.683579
81.0	2.683579
82.0	2.683579
83.0	2.683579
84.0	2.683579
85.0	2.683579
86.0	2.683579
87.0	2.683579
88.0	2.683579
89.0	2.683579
90.0	2.683579
91.0	2.683579
92.0	2.683579
93.0	2.683579
94.0	2.683579
95.0	2.683579
96.0	2.683579
97.0	2.683579
98.0	2.683579
99.0	2.683579
100.0	2.683579

