Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION
SRR10141021.coordsort	0.331345
SRR10141022.coordsort	0.280593
SRR10141023.coordsort	0.295169
SRR10141024.coordsort	0.200963
SRR10141025.coordsort	0.238591
SRR10141026.coordsort	0.377818
SRR10141027.coordsort	0.396209
SRR10141028.coordsort	0.146441
SRR10141029.coordsort	0.210617
SRR10141030.coordsort	0.896009
SRR10141031.coordsort	0.196407
SRR10141032.coordsort	0.209189
SRR10141033.coordsort	0.106721
SRR10141034.coordsort	0.129408
SRR10141035.coordsort	0.217821
SRR10141036.coordsort	0.108087
SRR10141037.coordsort	0.245578
SRR10141038.coordsort	0.227384
SRR10141039.coordsort	0.172787
SRR10141040.coordsort	0.156072
SRR10141041.coordsort	0.908316
SRR10141042.coordsort	0.128315
SRR10141043.coordsort	0.153824
SRR10141044.coordsort	0.187421
SRR10141045.coordsort	0.136303
SRR10141046.coordsort	0.196626
SRR10141047.coordsort	0.13358
SRR10141048.coordsort	0.209182
SRR10141049.coordsort	0.184899
SRR10141050.coordsort	0.317503
SRR10141051.coordsort	0.135934
SRR10141052.coordsort	0.936164
SRR10141053.coordsort	0.128964
SRR10141054.coordsort	0.259601
SRR10141055.coordsort	0.228056
SRR10141056.coordsort	0.232156
SRR10141057.coordsort	0.273212
SRR10141058.coordsort	0.228683
SRR10141059.coordsort	0.075992
SRR10141060.coordsort	0.19422
SRR10141061.coordsort	0.103886
SRR10141062.coordsort	0.120959
SRR10141063.coordsort	0.937038
SRR10141064.coordsort	0.090176
SRR10141065.coordsort	0.079553
SRR10141066.coordsort	0.183107
SRR10141067.coordsort	0.073468
SRR10141068.coordsort	0.072141
SRR10141069.coordsort	0.944691
SRR10141070.coordsort	0.95783
SRR10141071.coordsort	0.139449
SRR10141072.coordsort	0.938208
SRR10141073.coordsort	0.947757
SRR10141074.coordsort	0.951871
SRR10141075.coordsort	0.939955
SRR10141076.coordsort	0.953764
SRR10141077.coordsort	0.952468
SRR10141078.coordsort	0.956191
SRR10141079.coordsort	0.958691
SRR10141080.coordsort	0.959639
SRR10141081.coordsort	0.951491
SRR10141082.coordsort	0.936365
SRR10141083.coordsort	0.164717
SRR10141084.coordsort	0.941776
SRR10141085.coordsort	0.957009
SRR10141086.coordsort	0.941646
SRR10141087.coordsort	0.949322
SRR10141088.coordsort	0.932784
SRR10141089.coordsort	0.935085
SRR10141090.coordsort	0.947777
SRR10141091.coordsort	0.94401
SRR10141092.coordsort	0.929614
SRR10141093.coordsort	0.926156
SRR10141094.coordsort	0.940786
SRR10141095.coordsort	0.946041
SRR10141096.coordsort	0.950351
SRR10141097.coordsort	0.958872
SRR10141098.coordsort	0.924095
SRR10141099.coordsort	0.92507
SRR10141100.coordsort	0.923555
SRR10141101.coordsort	0.924646
SRR10141102.coordsort	0.935904
SRR10141103.coordsort	0.939226
SRR10141104.coordsort	0.956808
SRR10141105.coordsort	0.961092
SRR10141106.coordsort	0.934038
SRR10141107.coordsort	0.957549
SRR10141108.coordsort	0.958252
SRR10141109.coordsort	0.946845
SRR10141110.coordsort	0.93458
SRR10141111.coordsort	0.934989
SRR10141112.coordsort	0.898715
SRR10141113.coordsort	0.87772
SRR10141114.coordsort	0.923514
SRR10141115.coordsort	0.909814
SRR10141116.coordsort	0.963472
SRR10141117.coordsort	0.958503
SRR10141118.coordsort	0.949567
SRR10141119.coordsort	0.950317
