Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR10141021.coordsort	lib1	874.0	1776118.0	6441.0	1736.0	562.0	588371.0	0.0	0.331345	2048588.0
SRR10141022.coordsort	lib1	700.0	1330587.0	4105.0	874.0	477.0	373213.0	0.0	0.280593	1903819.0
SRR10141023.coordsort	lib1	1600.0	1458862.0	4832.0	1890.0	1027.0	430334.0	0.0	0.295169	1957916.0
SRR10141024.coordsort	lib1	1587.0	1335995.0	4106.0	2693.0	905.0	268193.0	0.0	0.200963	2865531.0
SRR10141025.coordsort	lib1	922.0	1477730.0	6422.0	1180.0	494.0	352436.0	0.0	0.238591	2582860.0
SRR10141026.coordsort	lib1	1140.0	1856932.0	7887.0	1502.0	652.0	701471.0	0.0	0.377818	1789269.0
SRR10141027.coordsort	lib1	677.0	2028151.0	4664.0	823.0	499.0	803457.0	0.0	0.396209	1826142.0
SRR10141028.coordsort	lib1	1716.0	1297927.0	3368.0	2934.0	935.0	189728.0	0.0	0.146441	3995457.0
SRR10141029.coordsort	lib1	3047.0	1826669.0	5060.0	4485.0	1729.0	384184.0	0.0	0.210617	3709580.0
SRR10141030.coordsort	lib1	805.0	399143.0	325.0	1161.0	729.0	357632.0	0.0	0.896009	41513.0
SRR10141031.coordsort	lib1	725.0	1201403.0	5614.0	1001.0	338.0	235866.0	0.0	0.196407	2644569.0
SRR10141032.coordsort	lib1	1275.0	1754239.0	8845.0	1709.0	654.0	366774.0	0.0	0.209189	3587394.0
SRR10141033.coordsort	lib1	692.0	1352778.0	5148.0	872.0	201.0	144306.0	0.0	0.106721	5881287.0
SRR10141034.coordsort	lib1	527.0	1152814.0	3881.0	733.0	187.0	149124.0	0.0	0.129408	4062774.0
SRR10141035.coordsort	lib1	738.0	1180277.0	7474.0	880.0	421.0	256959.0	0.0	0.217821	2301007.0
SRR10141036.coordsort	lib1	1392.0	2156539.0	13819.0	2062.0	402.0	232969.0	0.0	0.108087	9248692.0
SRR10141037.coordsort	lib1	1184.0	1985023.0	8433.0	1522.0	687.0	487280.0	0.0	0.245578	3350174.0
SRR10141038.coordsort	lib1	1585.0	2255453.0	9808.0	2513.0	854.0	512607.0	0.0	0.227384	4177579.0
