Module	Section	Sample Name	Source
Picard	DuplicationMetrics	SRR10141105.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141105.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141047.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141047.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141077.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141077.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141026.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141026.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141060.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141060.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141075.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141075.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141092.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141092.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141116.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141116.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141111.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141111.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141070.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141070.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141089.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141089.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141072.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141072.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141074.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141074.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141103.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141103.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141039.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141039.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141051.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141051.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141114.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141114.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141034.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141034.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141045.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141045.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141049.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141049.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141067.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141067.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141071.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141071.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141040.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141040.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141107.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141107.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141110.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141110.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141078.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141078.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141035.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141035.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141084.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141084.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141044.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141044.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141104.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141104.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141118.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141118.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141108.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141108.markdup_metrics.txt
Picard	DuplicationMetrics	SRR10141081.coordsort	/srv/data/my_shared_data_folder/gnbs/stubdata/markdup_metrics/SRR10141081.markdup_metrics.txt
