Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR10141021_1	SRR10141021_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1813581.0	0.0	151.0	48.0	45.217315452107854	151.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass	
SRR10141021_2	SRR10141021_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1813581.0	0.0	151.0	48.0	46.446758298858896	151.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass	
SRR10141022_1	SRR10141022_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1357041.0	0.0	151.0	49.0	46.41849430619293	151.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass	
SRR10141022_2	SRR10141022_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1357041.0	0.0	151.0	49.0	47.554349027567945	151.0	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass	
SRR10141023_1	SRR10141023_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1507004.0	0.0	151.0	46.0	60.304847409121784	151.0	pass	pass	pass	pass	pass	pass	pass	warn	pass	warn	
SRR10141023_2	SRR10141023_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1507004.0	0.0	151.0	46.0	60.84372604235618	151.0	pass	pass	pass	warn	warn	pass	pass	warn	warn	warn	
SRR10141024_1	SRR10141024_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1384790.0	0.0	151.0	47.0	69.17704704810164	151.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	
SRR10141024_2	SRR10141024_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1384790.0	0.0	151.0	47.0	69.12048080310429	151.0	pass	pass	pass	warn	warn	pass	pass	warn	warn	warn	
SRR10141025_1	SRR10141025_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1522061.0	0.0	151.0	47.0	66.22627153728938	151.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	fail	
SRR10141025_2	SRR10141025_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1522061.0	0.0	151.0	47.0	66.79849973754784	151.0	pass	pass	pass	warn	warn	pass	pass	warn	warn	warn	
SRR10141026_1	SRR10141026_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1913809.0	0.0	151.0	46.0	58.66274310561336	151.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	fail	
SRR10141026_2	SRR10141026_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1913809.0	0.0	151.0	46.0	59.59689800931223	151.0	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail	
SRR10141027_1	SRR10141027_1.fastq	Conventional base calls	Sanger / Illumina 1.9	2063679.0	0.0	151.0	50.0	34.42053956631032	151.0	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass	
SRR10141027_2	SRR10141027_2.fastq	Conventional base calls	Sanger / Illumina 1.9	2063679.0	0.0	151.0	50.0	35.75644337692467	151.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass	
SRR10141028_1	SRR10141028_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1342619.0	0.0	151.0	47.0	72.04210045893602	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141028_2	SRR10141028_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1342619.0	0.0	151.0	47.0	72.13745055849213	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	fail	
SRR10141029_1	SRR10141029_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1893433.0	0.0	151.0	46.0	66.78008933674965	151.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	fail	
SRR10141029_2	SRR10141029_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1893433.0	0.0	151.0	46.0	67.13901508201255	151.0	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail	
