Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR10141021_1_val_1	0.0	0.0
SRR10141021_2_val_2	0.0	0.0
SRR10141022_1_val_1	0.0	0.0
SRR10141022_2_val_2	0.0	0.0
SRR10141023_1_val_1	0.0	0.0
SRR10141023_2_val_2	0.21470525610242866	0.0
SRR10141024_1_val_1	0.0	0.0
SRR10141024_2_val_2	0.5938862670806757	0.0
SRR10141025_1_val_1	0.0	0.0
SRR10141025_2_val_2	0.1317977442231135	0.0
SRR10141026_1_val_1	0.0	0.0
SRR10141026_2_val_2	0.14013161824573941	0.0
SRR10141027_1_val_1	0.0	0.0
SRR10141027_2_val_2	0.0	0.0
SRR10141028_1_val_1	0.0	0.0
SRR10141028_2_val_2	0.3430873399925553	0.0
SRR10141029_1_val_1	0.0	0.0
SRR10141029_2_val_2	0.4866602747434353	0.0
SRR10141030_1_val_1	0.6305513763164603	36.754922199507156
SRR10141030_2_val_2	0.605309327561818	34.42515607583609
SRR10141031_1_val_1	0.0	0.0
SRR10141031_2_val_2	0.0	0.0
SRR10141032_1_val_1	0.0	0.0
SRR10141032_2_val_2	0.0	0.0
SRR10141033_1_val_1	0.0	0.0
SRR10141033_2_val_2	0.0	0.0
SRR10141034_1_val_1	0.0	0.0
SRR10141034_2_val_2	0.0	0.0
SRR10141035_1_val_1	0.0	0.0
SRR10141035_2_val_2	0.0	0.0
SRR10141036_1_val_1	0.0	0.0
SRR10141036_2_val_2	0.0	0.0
SRR10141037_1_val_1	0.0	0.0
SRR10141037_2_val_2	0.0	0.0
SRR10141038_1_val_1	0.0	0.0
SRR10141038_2_val_2	0.0	0.0
SRR10141039_1_val_1	0.0	0.0
SRR10141039_2_val_2	0.0	0.0
SRR10141040_1_val_1	0.0	0.0
SRR10141040_2_val_2	0.0	0.0
SRR10141041_1_val_1	1.232909715111727	32.387972053243395
SRR10141041_2_val_2	1.183219900018069	31.376407878094323
SRR10141042_1_val_1	0.0	0.0
SRR10141042_2_val_2	0.0	0.0
SRR10141043_1_val_1	0.0	0.0
SRR10141043_2_val_2	0.0	0.0
SRR10141044_1_val_1	0.0	0.0
SRR10141044_2_val_2	0.0	0.0
SRR10141045_1_val_1	0.0	0.0
SRR10141045_2_val_2	0.0	0.0
SRR10141046_1_val_1	0.0	0.0
SRR10141046_2_val_2	0.12903690225665249	0.0
SRR10141047_1_val_1	0.0	0.0
SRR10141047_2_val_2	0.0	0.0
SRR10141048_1_val_1	0.0	0.0
SRR10141048_2_val_2	0.0	0.0
SRR10141049_1_val_1	0.0	0.0
SRR10141049_2_val_2	0.0	0.0
SRR10141050_1_val_1	0.0	0.0
SRR10141050_2_val_2	0.1357822160288882	0.0
SRR10141051_1_val_1	0.0	0.0
SRR10141051_2_val_2	0.0	0.0
SRR10141052_1_val_1	0.22917365854083763	12.747512345652106
SRR10141052_2_val_2	0.2143545174408215	10.411318336943678
SRR10141053_1_val_1	0.0	0.0
SRR10141053_2_val_2	0.0	0.0
SRR10141054_1_val_1	0.0	0.0
SRR10141054_2_val_2	0.0	0.0
SRR10141055_1_val_1	0.0	0.0
SRR10141055_2_val_2	0.0	0.0
SRR10141056_1_val_1	0.0	0.0
SRR10141056_2_val_2	0.0	0.0
SRR10141057_1_val_1	0.0	0.0
SRR10141057_2_val_2	0.0	0.0
SRR10141058_1_val_1	0.0	0.0
SRR10141058_2_val_2	0.0	0.0
