Sample	Unique Reads	Duplicate Reads
SRR10141021_1_val_1	801077.0	976346.0
SRR10141021_2_val_2	819139.0	958284.0
SRR10141022_1_val_1	615822.0	715552.0
SRR10141022_2_val_2	628382.0	702992.0
SRR10141023_1_val_1	881165.0	579442.0
SRR10141023_2_val_2	885283.0	575324.0
SRR10141024_1_val_1	926402.0	411733.0
SRR10141024_2_val_2	922683.0	415452.0
SRR10141025_1_val_1	978447.0	500334.0
SRR10141025_2_val_2	983603.0	495178.0
SRR10141026_1_val_1	1089329.0	768924.0
SRR10141026_2_val_2	1102535.0	755718.0
SRR10141027_1_val_1	693519.0	1335382.0
SRR10141027_2_val_2	715935.0	1312966.0
SRR10141028_1_val_1	937701.0	362551.0
SRR10141028_2_val_2	936324.0	363928.0
SRR10141029_1_val_1	1220853.0	609582.0
SRR10141029_2_val_2	1222935.0	607500.0
SRR10141030_1_val_1	44604.0	355522.0
SRR10141030_2_val_2	51668.0	348458.0
SRR10141031_1_val_1	863027.0	339239.0
SRR10141031_2_val_2	872104.0	330162.0
SRR10141032_1_val_1	1194167.0	561564.0
SRR10141032_2_val_2	1207398.0	548333.0
SRR10141033_1_val_1	1151866.0	201694.0
SRR10141033_2_val_2	1150611.0	202949.0
SRR10141034_1_val_1	931469.0	221975.0
SRR10141034_2_val_2	931100.0	222344.0
SRR10141035_1_val_1	781862.0	399224.0
SRR10141035_2_val_2	788877.0	392209.0
SRR10141036_1_val_1	1821171.0	337095.0
SRR10141036_2_val_2	1825668.0	332598.0
SRR10141037_1_val_1	1276094.0	710282.0
SRR10141037_2_val_2	1285276.0	701100.0
SRR10141038_1_val_1	1480318.0	777184.0
SRR10141038_2_val_2	1490710.0	766792.0
SRR10141039_1_val_1	836314.0	282342.0
SRR10141039_2_val_2	838990.0	279666.0
SRR10141040_1_val_1	1127381.0	342165.0
SRR10141040_2_val_2	1128137.0	341409.0
SRR10141041_1_val_1	66209.0	597911.0
SRR10141041_2_val_2	75345.0	588775.0
SRR10141042_1_val_1	766187.0	206625.0
SRR10141042_2_val_2	768649.0	204163.0
SRR10141043_1_val_1	1207349.0	473909.0
SRR10141043_2_val_2	1206872.0	474386.0
SRR10141044_1_val_1	952212.0	360029.0
SRR10141044_2_val_2	955157.0	357084.0
SRR10141045_1_val_1	1134291.0	395905.0
SRR10141045_2_val_2	1132376.0	397820.0
SRR10141046_1_val_1	954494.0	351334.0
SRR10141046_2_val_2	958441.0	347387.0
SRR10141047_1_val_1	1314654.0	423977.0
SRR10141047_2_val_2	1318018.0	420613.0
SRR10141048_1_val_1	951378.0	383565.0
SRR10141048_2_val_2	946656.0	388287.0
SRR10141049_1_val_1	930152.0	340377.0
SRR10141049_2_val_2	930892.0	339637.0
SRR10141050_1_val_1	932862.0	524619.0
SRR10141050_2_val_2	940111.0	517370.0
SRR10141051_1_val_1	810203.0	236903.0
SRR10141051_2_val_2	812755.0	234351.0
SRR10141052_1_val_1	89493.0	1057672.0
SRR10141052_2_val_2	144645.0	1002520.0
SRR10141053_1_val_1	1213695.0	349563.0
SRR10141053_2_val_2	1209068.0	354190.0
SRR10141054_1_val_1	3127800.0	2373589.0
SRR10141054_2_val_2	3162651.0	2338738.0
SRR10141055_1_val_1	989897.0	402843.0
SRR10141055_2_val_2	992156.0	400584.0
SRR10141056_1_val_1	893487.0	343278.0
SRR10141056_2_val_2	894748.0	342017.0
SRR10141057_1_val_1	1123290.0	518966.0
SRR10141057_2_val_2	1130180.0	512076.0
SRR10141058_1_val_1	638528.0	232013.0
SRR10141058_2_val_2	642291.0	228250.0
SRR10141059_1_val_1	723008.0	143783.0
SRR10141059_2_val_2	721294.0	145497.0
SRR10141060_1_val_1	1319089.0	461388.0
SRR10141060_2_val_2	1324039.0	456438.0
SRR10141061_1_val_1	1097800.0	345255.0
SRR10141061_2_val_2	1102370.0	340685.0
SRR10141062_1_val_1	1039987.0	344845.0
SRR10141062_2_val_2	1044320.0	340512.0
SRR10141063_1_val_1	146162.0	870700.0
SRR10141063_2_val_2	220031.0	796831.0
SRR10141064_1_val_1	935536.0	157494.0
SRR10141064_2_val_2	938105.0	154925.0
SRR10141065_1_val_1	875381.0	127492.0
SRR10141065_2_val_2	874888.0	127985.0
SRR10141066_1_val_1	1162151.0	469525.0
SRR10141066_2_val_2	1164061.0	467615.0
SRR10141067_1_val_1	726242.0	168966.0
SRR10141067_2_val_2	730472.0	164736.0
SRR10141068_1_val_1	1083732.0	157937.0
SRR10141068_2_val_2	1084260.0	157409.0
SRR10141069_1_val_1	53720.0	617383.0
SRR10141069_2_val_2	77528.0	593575.0
SRR10141070_1_val_1	100068.0	1157872.0
SRR10141070_2_val_2	122671.0	1135269.0
SRR10141071_1_val_1	1281024.0	430408.0
SRR10141071_2_val_2	1288922.0	422510.0
SRR10141072_1_val_1	47064.0	510711.0
SRR10141072_2_val_2	67223.0	490552.0
SRR10141073_1_val_1	120862.0	1339586.0
SRR10141073_2_val_2	138872.0	1321576.0
SRR10141074_1_val_1	182046.0	1070406.0
SRR10141074_2_val_2	274459.0	977993.0
SRR10141075_1_val_1	74874.0	758443.0
SRR10141075_2_val_2	93494.0	739823.0
SRR10141076_1_val_1	73773.0	797065.0
SRR10141076_2_val_2	108022.0	762816.0
SRR10141077_1_val_1	67129.0	704491.0
SRR10141077_2_val_2	95952.0	675668.0
SRR10141078_1_val_1	132485.0	1673919.0
SRR10141078_2_val_2	180359.0	1626045.0
SRR10141079_1_val_1	130942.0	1702217.0
SRR10141079_2_val_2	182528.0	1650631.0
SRR10141080_1_val_1	145293.0	1863725.0
SRR10141080_2_val_2	202443.0	1806575.0
SRR10141081_1_val_1	66428.0	862257.0
SRR10141081_2_val_2	88124.0	840561.0
SRR10141082_1_val_1	50983.0	551391.0
SRR10141082_2_val_2	60944.0	541430.0
SRR10141083_1_val_1	760847.0	246303.0
SRR10141083_2_val_2	772618.0	234532.0
SRR10141084_1_val_1	48527.0	610382.0
SRR10141084_2_val_2	70604.0	588305.0
SRR10141085_1_val_1	201108.0	2764716.0
SRR10141085_2_val_2	246134.0	2719690.0
SRR10141086_1_val_1	79350.0	839512.0
SRR10141086_2_val_2	92812.0	826050.0
SRR10141087_1_val_1	62973.0	776731.0
SRR10141087_2_val_2	80838.0	758866.0
SRR10141088_1_val_1	62120.0	707416.0
SRR10141088_2_val_2	84472.0	685064.0
SRR10141089_1_val_1	56337.0	633564.0
SRR10141089_2_val_2	74986.0	614915.0
SRR10141090_1_val_1	51462.0	645011.0
SRR10141090_2_val_2	65245.0	631228.0
SRR10141091_1_val_1	59941.0	660930.0
SRR10141091_2_val_2	73912.0	646959.0
SRR10141092_1_val_1	54785.0	573727.0
SRR10141092_2_val_2	62203.0	566309.0
SRR10141093_1_val_1	53427.0	543983.0
SRR10141093_2_val_2	61832.0	535578.0
SRR10141094_1_val_1	71813.0	843608.0
SRR10141094_2_val_2	107215.0	808206.0
SRR10141095_1_val_1	106995.0	1262046.0
SRR10141095_2_val_2	134475.0	1234566.0
SRR10141096_1_val_1	109362.0	1480614.0
SRR10141096_2_val_2	145489.0	1444487.0
SRR10141097_1_val_1	90523.0	1244466.0
SRR10141097_2_val_2	111967.0	1223022.0
SRR10141098_1_val_1	48945.0	466398.0
SRR10141098_2_val_2	59807.0	455536.0
SRR10141099_1_val_1	50761.0	497357.0
SRR10141099_2_val_2	67210.0	480908.0
SRR10141100_1_val_1	48803.0	467669.0
SRR10141100_2_val_2	64107.0	452365.0
SRR10141101_1_val_1	68435.0	672441.0
SRR10141101_2_val_2	84661.0	656215.0
SRR10141102_1_val_1	63398.0	680397.0
SRR10141102_2_val_2	76210.0	667585.0
SRR10141103_1_val_1	56143.0	623841.0
SRR10141103_2_val_2	67955.0	612029.0
SRR10141104_1_val_1	111430.0	1284629.0
SRR10141104_2_val_2	141456.0	1254603.0
SRR10141105_1_val_1	218974.0	2741874.0
SRR10141105_2_val_2	281263.0	2679585.0
SRR10141106_1_val_1	49903.0	524447.0
SRR10141106_2_val_2	61315.0	513035.0
