Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR10141021_1	1.15	1813581	726929	1813581	273850731	5353399	266944406	2.5219304599920895
SRR10141021_2	1.15	1813581	718440	1813581	273850731	9207485	263120822	3.9181597072311636
SRR10141022_1	1.15	1357041	543281	1357041	204913191	4310182	199428790	2.6764509269683865
SRR10141022_2	1.15	1357041	541509	1357041	204913191	6150513	197602347	3.5677761711299496
SRR10141023_1	1.15	1507004	600379	1507004	227557604	4607721	217930405	4.230664601302447
SRR10141023_2	1.15	1507004	607475	1507004	227557604	8463372	214301529	5.8253711442663985
SRR10141024_1	1.15	1384790	552862	1384790	209103290	4406848	199860044	4.4204211229770705
SRR10141024_2	1.15	1384790	553876	1384790	209103290	8955935	195496502	6.507208949223132
SRR10141025_1	1.15	1522061	597381	1522061	229831211	4988755	219834957	4.349389256796806
SRR10141025_2	1.15	1522061	611279	1522061	229831211	8108017	216968119	5.596755960181579
SRR10141026_1	1.15	1913809	794621	1913809	288985159	6594664	274569325	4.988434025430351
SRR10141026_2	1.15	1913809	822614	1913809	288985159	10299722	271104216	6.187495254730365
SRR10141027_1	1.15	2063679	860413	2063679	311615529	5927012	303893559	2.478044025848275
SRR10141027_2	1.15	2063679	824660	2063679	311615529	8247717	301641704	3.200682915901794
SRR10141028_1	1.15	1342619	553345	1342619	202735469	4386530	192734788	4.932871909058992
SRR10141028_2	1.15	1342619	555778	1342619	202735469	8244291	189003311	6.773436373878909
SRR10141029_1	1.15	1893433	806555	1893433	285908383	6539374	271558254	5.019135448015177
SRR10141029_2	1.15	1893433	805158	1893433	285908383	11925821	266312150	6.854025333003265
SRR10141030_1	1.15	440808	287107	440808	66562008	1825888	58106686	12.70292506800576
SRR10141030_2	1.15	440808	257135	440808	66562008	5103062	57974646	12.901296487329528
SRR10141031_1	1.15	1238712	555643	1238712	187045512	4258276	177529526	5.08752436679689
SRR10141031_2	1.15	1238712	541596	1238712	187045512	7160495	174715960	6.5917390201802855
SRR10141032_1	1.15	1815694	858177	1815694	274169794	7398610	257701863	6.0064716684289445
SRR10141032_2	1.15	1815694	847936	1815694	274169794	13997394	251557529	8.247540573342665
SRR10141033_1	1.15	1370851	247575	1370851	199338456	1388074	197604119	0.8700463697782429
SRR10141033_2	1.15	1370851	258756	1370851	199391352	2790524	196242189	1.5793879566050588
SRR10141034_1	1.15	1165469	204098	1165469	169971559	1009170	168678670	0.7606501979545883
SRR10141034_2	1.15	1165469	211824	1165469	170009817	1976354	167737906	1.3363410655279981
SRR10141035_1	1.15	1220059	542908	1220059	184228909	4222907	175105327	4.952307457891965
SRR10141035_2	1.15	1220059	539153	1220059	184228909	7586338	171798623	6.747196228578871
SRR10141036_1	1.15	2224351	1179885	2224351	335877001	8064429	312774706	6.878200928083195
SRR10141036_2	1.15	2224351	1176721	2224351	335877001	12416294	308859949	8.043733842913525
SRR10141037_1	1.15	2047091	902926	2047091	309110741	6948668	293932844	4.910181040910513
SRR10141037_2	1.15	2047091	899352	2047091	309110741	11282917	289816466	6.2418649502703625
SRR10141038_1	1.15	2328178	1087857	2328178	351554878	8527082	331633016	5.666785826820472
SRR10141038_2	1.15	2328178	1069519	2328178	351554878	12837629	327594117	6.815653116894029
SRR10141039_1	1.15	1132897	558026	1132897	171067447	1131870	164071028	4.089859948631839
SRR10141039_2	1.15	1132897	544303	1132897	171067447	2860393	162480955	5.01936058004069
SRR10141040_1	1.15	1487701	683692	1487701	224642851	1554719	216878116	3.4564799037384013
SRR10141040_2	1.15	1487701	665250	1487701	224642851	3557665	215010806	4.287714902621139
SRR10141041_1	1.15	722870	456061	722870	109153370	2748717	96783193	11.332840204567207
SRR10141041_2	1.15	722870	425637	722870	109153370	6355560	96539298	11.556282687378319
SRR10141042_1	1.15	984245	498498	984245	148620995	986093	142020462	4.44118477338952
SRR10141042_2	1.15	984245	493705	984245	148620995	2344506	140790841	5.268538270787381
SRR10141043_1	1.15	1693280	659688	1693280	213353280	864086	210226843	1.4653803306890807
SRR10141043_2	1.15	1693280	641359	1693280	213353280	1571347	209561264	1.7773413185867122
SRR10141044_1	1.15	1324860	514991	1324860	166932360	698589	164410516	1.5106981055081232
SRR10141044_2	1.15	1324860	500750	1324860	166932360	1731583	163420028	2.104045015597934
SRR10141045_1	1.15	1542468	587436	1542468	194350968	811066	191706925	1.3604475589748541
SRR10141045_2	1.15	1542468	570743	1542468	194350968	1636870	190918126	1.766310729154691
SRR10141046_1	1.15	1350504	634963	1350504	203926104	5198577	191871355	5.911331979352678
SRR10141046_2	1.15	1350504	629319	1350504	203926104	7989704	189175327	7.233393229539657
SRR10141047_1	1.15	1794388	819625	1794388	270952588	6903470	255913726	5.550366619860446
SRR10141047_2	1.15	1794388	816294	1794388	270952588	10199927	252678171	6.744507271508328
SRR10141048_1	1.15	1342693	527807	1342693	169179318	653491	166654912	1.492148112336048
SRR10141048_2	1.15	1342693	518032	1342693	169179318	942741	166389690	1.6489178659533315
SRR10141049_1	1.15	1308205	570988	1308205	197538955	4352956	187643993	5.009119340537162
SRR10141049_2	1.15	1308205	573262	1308205	197538955	6577699	185526950	6.080828462416439
SRR10141050_1	1.15	1502540	662778	1502540	226883540	5147368	215134293	5.178536530239258
SRR10141050_2	1.15	1502540	663307	1502540	226883540	7688724	212678126	6.26110382445549
SRR10141051_1	1.15	1082121	489442	1082121	163400271	4001594	154479277	5.45959559638674
SRR10141051_2	1.15	1082121	485075	1082121	163400271	6283447	152209636	6.848602472636046
SRR10141052_1	1.15	1186528	612808	1186528	179165728	1322914	170521855	4.824512531771701
SRR10141052_2	1.15	1186528	585300	1186528	179165728	5867008	167923230	6.274915479371145
SRR10141053_1	1.15	1618915	775188	1618915	244456165	6495077	229375241	6.169173111261072
SRR10141053_2	1.15	1618915	786368	1618915	244456165	9946450	225956060	7.567861910948329
SRR10141054_1	1.15	5668280	2674197	5668280	855910280	19690756	809161115	5.461923532452491
SRR10141054_2	1.15	5668280	2672048	5668280	855910280	31147392	797951872	6.771551803303495
SRR10141055_1	1.15	1436533	669252	1436533	215479950	4916506	203260996	5.670575847079972
SRR10141055_2	1.15	1436533	680688	1436533	215479950	7232455	201172097	6.639992723220884
SRR10141056_1	1.15	1275803	613561	1275803	191370450	4339377	179962770	5.96104571003517
SRR10141056_2	1.15	1275803	624653	1275803	191370450	6291741	178303083	6.82830969985178
SRR10141057_1	1.15	1692256	807833	1692256	255530656	5510981	241275515	5.578642196261571
SRR10141057_2	1.15	1692256	796691	1692256	255530656	8569210	238376643	6.713093946739604
SRR10141058_1	1.15	890176	350812	890176	134416576	8931947	122873616	8.587452785585016
SRR10141058_2	1.15	890176	328320	890176	134416576	14020231	118322793	11.973064244695534
SRR10141059_1	1.15	882881	379359	882881	133315031	5110939	124966095	6.262561646180767
SRR10141059_2	1.15	882881	361359	882881	133315031	7923240	122458834	8.143265555704668
SRR10141060_1	1.15	1837299	901605	1837299	277432149	7622452	258752148	6.733178208557221
SRR10141060_2	1.15	1837299	892463	1837299	277432149	10755730	256033808	7.712999764854217
SRR10141061_1	1.15	1488819	323219	1488819	216231739	5702190	210058217	2.855048952827411
SRR10141061_2	1.15	1488819	337733	1488819	216269895	7897727	207859386	3.8888949384286704
SRR10141062_1	1.15	1424183	313837	1424183	203776136	4753490	198553626	2.5628663407377594
SRR10141062_2	1.15	1424183	324784	1424183	203893037	6717959	196674127	3.5405377771679376
SRR10141063_1	1.15	1148375	644388	1148375	173404625	4844017	150874309	12.992915269705177
SRR10141063_2	1.15	1148375	551552	1148375	173404625	13351475	153767825	11.324265428329838
SRR10141064_1	1.15	1137213	583444	1137213	171719163	5973148	157772484	8.121795352566446
SRR10141064_2	1.15	1137213	586072	1137213	171719163	8203848	155345112	9.53536618391274
SRR10141065_1	1.15	1038285	561587	1038285	156781035	4790805	143368897	8.554694131213001
SRR10141065_2	1.15	1038285	561339	1038285	156781035	6421684	141753099	9.585302201889407
SRR10141066_1	1.15	1677235	907355	1677235	253262485	5215567	234044671	7.588101332891842
SRR10141066_2	1.15	1677235	900567	1677235	253262485	8201140	231276483	8.68111279884188
SRR10141067_1	1.15	911724	485291	911724	137670324	1463002	128933506	6.346188304169314
SRR10141067_2	1.15	911724	480209	911724	137670324	4322166	126898475	7.824379784273624
SRR10141068_1	1.15	1285762	745291	1285762	194150062	5594480	175790618	9.456316320929117
SRR10141068_2	1.15	1285762	737555	1285762	194150062	8696113	173025907	10.88032359217068
SRR10141069_1	1.15	687582	276619	687582	103824882	787249	101850069	1.9020613960341413
SRR10141069_2	1.15	687582	260439	687582	103824882	3607230	99181378	4.472438504673668
SRR10141070_1	1.15	1292844	496015	1292844	195219444	4061985	189546462	2.9059513149724983
SRR10141070_2	1.15	1292844	483515	1292844	195219444	7380643	186367129	4.5345457494490145
SRR10141071_1	1.15	1781934	947735	1781934	269072034	10539563	243835544	9.379083223491
SRR10141071_2	1.15	1781934	922517	1781934	269072034	14436911	240143409	10.751256669059856
SRR10141072_1	1.15	573319	231914	573319	86571169	375043	85345378	1.415934443486607
SRR10141072_2	1.15	573319	224257	573319	86571169	2661289	83175835	3.9220147298692476
SRR10141073_1	1.15	1484910	676588	1484910	224221410	2631226	217369928	3.055676975717885
SRR10141073_2	1.15	1484910	664737	1484910	224221410	4596999	215601585	3.844336274577883
SRR10141074_1	1.15	1300048	573018	1300048	196307248	5275456	187043673	4.7189164406196555
SRR10141074_2	1.15	1300048	566558	1300048	196307248	13297864	179758957	8.429791140467723
SRR10141075_1	1.15	856187	383172	856187	129284237	2490338	124861711	3.4207774301208893
SRR10141075_2	1.15	856187	377659	856187	129284237	4574522	122921538	4.921480876280378
SRR10141076_1	1.15	997602	284359	997602	147959591	18438857	129020398	12.800246926878838
SRR10141076_2	1.15	997602	281936	997602	148272366	29743426	118030108	20.396422351552683
SRR10141077_1	1.15	878544	243664	878544	130517056	16177939	113910835	12.723410647570843
SRR10141077_2	1.15	878544	245446	878544	130736437	25844664	104463965	20.095753412646545
SRR10141078_1	1.15	1874111	920624	1874111	282990761	6468231	268313179	5.186594059867558
SRR10141078_2	1.15	1874111	892598	1874111	282990761	12910695	263737109	6.803632716475858
SRR10141079_1	1.15	1894348	885602	1894348	286046548	6300907	273064873	4.538308569275236
SRR10141079_2	1.15	1894348	867163	1894348	286046548	12837948	267759623	6.39298922775324
SRR10141080_1	1.15	2080809	988927	2080809	314202159	7498964	299075816	4.814207212369919
SRR10141080_2	1.15	2080809	964416	2080809	314202159	14549167	293501053	6.588467140354691
SRR10141081_1	1.15	957124	414248	957124	144525724	1099528	140828079	2.5584684149376757
SRR10141081_2	1.15	957124	386458	957124	144525724	4936784	138037329	4.489439540880626
SRR10141082_1	1.15	609941	257346	609941	92101091	351513	90836201	1.3733713534403191
SRR10141082_2	1.15	609941	248830	609941	92101091	1654518	89614625	2.6997139480139274
SRR10141083_1	1.15	1151192	351957	1151192	166040178	22220967	143113127	13.808134438400806
SRR10141083_2	1.15	1151192	366481	1151192	166906522	34484487	131541289	21.188646540726552
SRR10141084_1	1.15	670487	287656	670487	101243537	351969	99926191	1.3011655252621213
SRR10141084_2	1.15	670487	278010	670487	101243537	2385121	97976670	3.2267412783099427
SRR10141085_1	1.15	3064533	1637834	3064533	462744483	7458438	435410055	5.907024071424748
SRR10141085_2	1.15	3064533	1580190	3064533	462744483	17617431	429503179	7.183511683271651
SRR10141086_1	1.15	937688	467505	937688	141590888	1925999	135710168	4.153318114651559
SRR10141086_2	1.15	937688	465919	937688	141590888	3726226	134021453	5.345990202420371
SRR10141087_1	1.15	853793	424782	853793	128922743	634849	125438666	2.702453359994055
SRR10141087_2	1.15	853793	407772	853793	128922743	3387340	122923742	4.653175118993551
SRR10141088_1	1.15	796806	456159	796806	120317706	978664	113925776	5.312543109822922
SRR10141088_2	1.15	796806	430584	796806	120317706	4618682	111604685	7.241678128404476
SRR10141089_1	1.15	705568	378959	705568	106540768	489694	102540711	3.754484855975508
SRR10141089_2	1.15	705568	360804	705568	106540768	3032083	100485681	5.683352123010789
SRR10141090_1	1.15	706889	320963	706889	106740239	412304	104881216	1.7416327876125515
SRR10141090_2	1.15	706889	309061	706889	106740239	2105896	103317928	3.20620511258177
SRR10141091_1	1.15	736930	352114	736930	111276430	791182	107232018	3.634563042685679
SRR10141091_2	1.15	736930	341572	736930	111276430	2806701	105453547	5.2328089605318935
SRR10141092_1	1.15	634730	330896	634730	95844230	245541	92644500	3.3384690972007394
SRR10141092_2	1.15	634730	323385	634730	95844230	1206951	91850752	4.166633713891802
SRR10141093_1	1.15	605344	315905	605344	91406944	253433	88273029	3.4285305501516388
SRR10141093_2	1.15	605344	308347	605344	91406944	1427009	87291604	4.502218124697397
SRR10141094_1	1.15	931856	460821	931856	140710256	489278	136597121	2.923123812666505
SRR10141094_2	1.15	931856	443082	931856	140710256	3270313	134296248	4.558308812969539
SRR10141095_1	1.15	1424527	683079	1424527	215103577	2767277	206289740	4.097485092030803
SRR10141095_2	1.15	1424527	667997	1424527	215103577	9576922	199904451	7.065956880856519
SRR10141096_1	1.15	1614443	816114	1614443	243780893	1151366	235228432	3.5082573103873242
SRR10141096_2	1.15	1614443	791859	1614443	243780893	3811062	233121846	4.372388200251609
SRR10141097_1	1.15	1392626	607697	1392626	210286526	4744311	199698196	5.035191841059755
SRR10141097_2	1.15	1392626	597114	1392626	210286526	9100447	195838910	6.870443044933844
SRR10141098_1	1.15	525436	272183	525436	79340836	248146	76865386	3.120020061296052
SRR10141098_2	1.15	525436	266639	525436	79340836	1838500	75428062	4.931601678610999
SRR10141099_1	1.15	564719	290336	564719	85272569	250963	82733372	2.9777418808620624
SRR10141099_2	1.15	564719	282935	564719	85272569	2881633	80217790	5.927790213521067
SRR10141100_1	1.15	530050	271697	530050	80037550	240562	77627709	3.010888014438223
SRR10141100_2	1.15	530050	264943	530050	80037550	2434127	75580333	5.568907344115356
SRR10141101_1	1.15	753376	389159	753376	113759776	360629	109886111	3.405127133864961
SRR10141101_2	1.15	753376	382385	753376	113759776	2096018	108420806	4.693196653270484
SRR10141102_1	1.15	750880	382298	750880	113382880	292302	110063069	2.927964962611639
SRR10141102_2	1.15	750880	377243	750880	113382880	1310233	109170494	3.7151869841372878
SRR10141103_1	1.15	688242	343281	688242	103924542	259552	101084913	2.7323950102180867
SRR10141103_2	1.15	688242	338273	688242	103924542	1535021	99935038	3.838846843318299
SRR10141104_1	1.15	1467409	625030	1467409	221578759	6409608	209240304	5.568428605559615
SRR10141104_2	1.15	1467409	601978	1467409	221578759	11162026	205678946	7.175693677388996
SRR10141105_1	1.15	3051190	1200012	3051190	460729690	8927185	446964896	2.9876073321864713
SRR10141105_2	1.15	3051190	1184407	3051190	460729690	18319297	437964463	4.941124371646203
SRR10141106_1	1.15	580865	268502	580865	87710615	229663	86054225	1.8884715379090662
SRR10141106_2	1.15	580865	263721	580865	87710615	1250634	85110436	2.964497512644279
SRR10141107_1	1.15	1493223	658053	1493223	225476673	4207691	217146731	3.6943697497257286
SRR10141107_2	1.15	1493223	648010	1493223	225476673	9994194	212065726	5.947820154327007
SRR10141108_1	1.15	1196264	460684	1196264	180635864	2450177	176217064	2.446247329932222
SRR10141108_2	1.15	1196264	463263	1196264	180635864	5270870	173503365	3.948550881346575
SRR10141109_1	1.15	1052987	393999	1052987	159001037	2186113	155208373	2.3853077134333405
SRR10141109_2	1.15	1052987	394482	1052987	159001037	4609646	152886420	3.845645987830884
SRR10141110_1	1.15	564965	200675	564965	71185590	436080	69981093	1.6920517200180543
SRR10141110_2	1.15	564965	192026	564965	71185590	1089375	69414546	2.4879248735593817
SRR10141111_1	1.15	593872	320358	593872	89674672	335807	86327236	3.7328667340985646
SRR10141111_2	1.15	593872	312238	593872	89674672	1955398	84981748	5.233277017171583
SRR10141112_1	1.15	485916	304575	485916	73373316	1553613	65961728	10.101203549257608
SRR10141112_2	1.15	485916	285732	485916	73373316	3657324	65517992	10.705968365938375
SRR10141113_1	1.15	280058	168690	280058	42288758	652883	38643638	8.619595780041589
SRR10141113_2	1.15	280058	164095	280058	42288758	1288767	38423001	9.141334914588885
SRR10141114_1	1.15	223464	106616	223464	33743064	304939	32130421	4.779183656825
SRR10141114_2	1.15	223464	102605	223464	33743064	703035	31924396	5.389753580172802
SRR10141115_1	1.15	347308	180365	347308	52443508	178257	50671601	3.3786965585902453
SRR10141115_2	1.15	347308	177215	347308	52443508	768629	50224281	4.231652466879218
SRR10141116_1	1.15	1646742	756872	1646742	248658042	7481903	234201083	5.81399213301937
SRR10141116_2	1.15	1646742	746927	1646742	248658042	11764155	230565760	7.275968979117112
SRR10141117_1	1.15	1330912	601146	1330912	200967712	6248061	187635771	6.633872111754948
SRR10141117_2	1.15	1330912	589412	1330912	200967712	9632217	185721961	7.58616936436038
SRR10141118_1	1.15	1105003	532627	1105003	166855453	4092293	158385787	5.0760498669468115
SRR10141118_2	1.15	1105003	532081	1105003	166855453	6389503	156442030	6.240984524491387
SRR10141119_1	1.15	1315972	257717	1315972	194018520	701401	192257558	0.907625725626605
SRR10141119_2	1.15	1315972	261777	1315972	193974747	3109998	190482946	1.8001317460153716
