Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR10141021_1_val_1	SRR10141021_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1777423.0	0.0	50-151	48.0	45.06952057974319	148.0100471300304	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	
SRR10141021_2_val_2	SRR10141021_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1777423.0	0.0	50-151	48.0	46.085727915952205	146.92356855965068	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	
SRR10141022_1_val_1	SRR10141022_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1331374.0	0.0	50-151	49.0	46.25461712165572	147.78861912580538	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	
SRR10141022_2_val_2	SRR10141022_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1331374.0	0.0	50-151	49.0	47.19796949850058	147.41447707406033	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass	
SRR10141023_1_val_1	SRR10141023_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1460607.0	0.0	50-151	46.0	60.32864850172835	145.68606955875194	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141023_2_val_2	SRR10141023_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1460607.0	0.0	50-151	46.0	60.61061273902011	145.21039335016195	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	
SRR10141024_1_val_1	SRR10141024_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1338135.0	0.0	50-151	46.0	69.23082175978608	145.4405661611123	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141024_2_val_2	SRR10141024_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1338135.0	0.0	50-151	47.0	68.95288067586823	144.6040907681213	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	
SRR10141025_1_val_1	SRR10141025_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1478781.0	0.0	50-151	47.0	66.165753450915	145.5846700762317	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141025_2_val_2	SRR10141025_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1478781.0	0.0	50-151	47.0	66.51438478420857	145.1329541020611	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	
SRR10141026_1_val_1	SRR10141026_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1858253.0	0.0	50-151	46.0	58.621099496789434	144.6396529428447	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141026_2_val_2	SRR10141026_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1858253.0	0.0	50-151	46.0	59.33176440846694	144.26513935400615	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	
SRR10141027_1_val_1	SRR10141027_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	2028901.0	0.0	50-151	49.0	34.18197353395151	148.02264920762522	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass	
SRR10141027_2_val_2	SRR10141027_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	2028901.0	0.0	50-151	49.0	35.28682763686868	147.69948016192018	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	
SRR10141028_1_val_1	SRR10141028_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1300252.0	0.0	50-151	46.0	72.1168215730776	144.6308454053522	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141028_2_val_2	SRR10141028_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1300252.0	0.0	50-151	46.0	72.01091728496762	143.9179389841354	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	
SRR10141029_1_val_1	SRR10141029_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1830435.0	0.0	50-151	46.0	66.69738165841369	144.60121064118638	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141029_2_val_2	SRR10141029_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1830435.0	0.0	50-151	46.0	66.81114696804586	143.98934570197795	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	
SRR10141030_1_val_1	SRR10141030_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	400126.0	0.0	50-151	48.0	11.14748854110955	142.69093235630777	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	pass
SRR10141030_2_val_2	SRR10141030_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	400126.0	0.0	50-151	48.0	12.91293242628572	142.37297501287094	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	pass
SRR10141031_1_val_1	SRR10141031_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1202266.0	0.0	50-151	46.0	71.78334636937336	144.6068914865762	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141031_2_val_2	SRR10141031_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1202266.0	0.0	50-151	46.0	72.53833063183819	143.7837192434952	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141032_1_val_1	SRR10141032_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1755731.0	0.0	50-151	46.0	68.01532545244505	143.41850260660658	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141032_2_val_2	SRR10141032_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1755731.0	0.0	50-151	46.0	68.76892949938315	141.57936323958512	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141033_1_val_1	SRR10141033_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1353560.0	0.0	50-151	44.0	85.09896614554894	144.65324699311446	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141033_2_val_2	SRR10141033_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1353560.0	0.0	50-151	43.0	85.00622610701963	144.56294660007683	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141034_1_val_1	SRR10141034_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1153444.0	0.0	50-151	44.0	80.7554055188177	145.09667569470213	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	
SRR10141034_2_val_2	SRR10141034_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1153444.0	0.0	50-151	44.0	80.72343564075372	145.02163173938223	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	
SRR10141035_1_val_1	SRR10141035_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1181086.0	0.0	50-151	47.0	66.19850512774205	144.86999422565333	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141035_2_val_2	SRR10141035_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1181086.0	0.0	50-151	46.0	66.79250912038968	143.96476801858628	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141036_1_val_1	SRR10141036_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	2158266.0	0.0	50-151	44.0	84.38120254454383	142.0857461499185	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	
SRR10141036_2_val_2	SRR10141036_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	2158266.0	0.0	50-151	44.0	84.58956671567665	141.51860243362032	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141037_1_val_1	SRR10141037_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1986376.0	0.0	50-151	47.0	64.24230008503315	144.8844111084709	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141037_2_val_2	SRR10141037_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1986376.0	0.0	50-151	47.0	64.70455387311958	144.37053105756414	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141038_1_val_1	SRR10141038_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	2257502.0	0.0	50-151	47.0	65.57327016859607	143.85019105187948	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141038_2_val_2	SRR10141038_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	2257502.0	0.0	50-151	47.0	66.03357828513984	143.47644077391737	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
SRR10141039_1_val_1	SRR10141039_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1118656.0	0.0	50-151	48.0	74.76055134395962	145.18794964671892	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141039_2_val_2	SRR10141039_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1118656.0	0.0	50-151	47.0	74.99976421704456	144.78069486955775	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141040_1_val_1	SRR10141040_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1469546.0	0.0	50-151	47.0	76.71625698983169	146.1792444741437	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141040_2_val_2	SRR10141040_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1469546.0	0.0	50-151	46.0	76.76765608938861	145.85428697026157	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141041_1_val_1	SRR10141041_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	664120.0	0.0	50-151	47.0	9.969433234957538	143.06371288321387	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass	pass
SRR10141041_2_val_2	SRR10141041_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	664120.0	0.0	50-151	47.0	11.344937661868338	142.74485635126183	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass	pass
SRR10141042_1_val_1	SRR10141042_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	972812.0	0.0	50-151	47.0	78.7599285412212	144.6656846338244	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141042_2_val_2	SRR10141042_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	972812.0	0.0	50-151	47.0	79.01300942236188	144.2790981196778	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141043_1_val_1	SRR10141043_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1681258.0	0.0	50-126	47.0	71.81219092969783	124.08663988513364	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141043_2_val_2	SRR10141043_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1681258.0	0.0	50-126	47.0	71.78383800663816	123.89956449277862	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141044_1_val_1	SRR10141044_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1312241.0	0.0	50-126	48.0	72.56372958090674	124.03955980646847	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141044_2_val_2	SRR10141044_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1312241.0	0.0	50-126	47.0	72.7881814804366	123.73723881512619	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141045_1_val_1	SRR10141045_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1530196.0	0.0	50-126	48.0	74.1271137247782	124.22484832008449	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141045_2_val_2	SRR10141045_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1530196.0	0.0	50-126	47.0	74.00199016047216	124.01030325526926	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141046_1_val_1	SRR10141046_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1305828.0	0.0	50-151	47.0	73.09492116638745	143.58240518659426	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141046_2_val_2	SRR10141046_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1305828.0	0.0	50-151	47.0	73.3971459819696	143.07707982980912	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	
SRR10141047_1_val_1	SRR10141047_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1738631.0	0.0	50-151	47.0	75.61430581939292	144.06136034615741	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141047_2_val_2	SRR10141047_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1738631.0	0.0	50-151	47.0	75.8077769733796	143.61216324798073	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141048_1_val_1	SRR10141048_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1334943.0	0.0	50-126	47.0	71.2673030808995	124.03884660243921	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141048_2_val_2	SRR10141048_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1334943.0	0.0	50-126	47.0	70.9135437898985	123.96860390293818	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
SRR10141049_1_val_1	SRR10141049_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	1270529.0	0.0	50-151	47.0	73.2097675418579	144.72743872827775	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141049_2_val_2	SRR10141049_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	1270529.0	0.0	50-151	47.0	73.26800276039016	144.38454690920082	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
