Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10141021_1	2.5219304599920895					
SRR10141021_1_val_1		54.93047942025681	48.0	148.0100471300304	20.0	1777423.0
SRR10141021_2	3.9181597072311636					
SRR10141021_2_val_2		53.914272084047795	48.0	146.92356855965068	20.0	1777423.0
SRR10141022_1	2.6764509269683865					
SRR10141022_1_val_1		53.74538287834428	49.0	147.78861912580538	20.0	1331374.0
SRR10141022_2	3.5677761711299496					
SRR10141022_2_val_2		52.80203050149942	49.0	147.41447707406033	30.0	1331374.0
SRR10141023_1	4.230664601302447					
SRR10141023_1_val_1		39.67135149827165	46.0	145.68606955875194	10.0	1460607.0
SRR10141023_2	5.8253711442663985					
SRR10141023_2_val_2		39.38938726097989	46.0	145.21039335016195	10.0	1460607.0
SRR10141024_1	4.4204211229770705					
SRR10141024_1_val_1		30.76917824021392	46.0	145.4405661611123	10.0	1338135.0
SRR10141024_2	6.507208949223132					
SRR10141024_2_val_2		31.04711932413177	47.0	144.6040907681213	10.0	1338135.0
SRR10141025_1	4.349389256796806					
SRR10141025_1_val_1		33.834246549084995	47.0	145.5846700762317	10.0	1478781.0
SRR10141025_2	5.596755960181579					
SRR10141025_2_val_2		33.48561521579143	47.0	145.1329541020611	10.0	1478781.0
SRR10141026_1	4.988434025430351					
SRR10141026_1_val_1		41.378900503210566	46.0	144.6396529428447	10.0	1858253.0
SRR10141026_2	6.187495254730365					
SRR10141026_2_val_2		40.66823559153306	46.0	144.26513935400615	10.0	1858253.0
SRR10141027_1	2.478044025848275					
SRR10141027_1_val_1		65.81802646604848	49.0	148.02264920762522	30.0	2028901.0
SRR10141027_2	3.200682915901794					
SRR10141027_2_val_2		64.71317236313132	49.0	147.69948016192018	20.0	2028901.0
SRR10141028_1	4.932871909058992					
SRR10141028_1_val_1		27.8831784269224	46.0	144.6308454053522	10.0	1300252.0
SRR10141028_2	6.773436373878909					
SRR10141028_2_val_2		27.98908271503238	46.0	143.9179389841354	10.0	1300252.0
SRR10141029_1	5.019135448015177					
SRR10141029_1_val_1		33.30261834158631	46.0	144.60121064118638	10.0	1830435.0
SRR10141029_2	6.854025333003265					
SRR10141029_2_val_2		33.18885303195414	46.0	143.98934570197795	10.0	1830435.0
SRR10141030_1	12.70292506800576					
SRR10141030_1_val_1		88.85251145889045	48.0	142.69093235630777	18.181818181818183	400126.0
SRR10141030_2	12.901296487329528					
SRR10141030_2_val_2		87.08706757371428	48.0	142.37297501287094	18.181818181818183	400126.0
SRR10141031_1	5.08752436679689					
SRR10141031_1_val_1		28.216653630626638	46.0	144.6068914865762	10.0	1202266.0
SRR10141031_2	6.5917390201802855					
SRR10141031_2_val_2		27.461669368161807	46.0	143.7837192434952	10.0	1202266.0
SRR10141032_1	6.0064716684289445					
SRR10141032_1_val_1		31.984674547554945	46.0	143.41850260660658	10.0	1755731.0
SRR10141032_2	8.247540573342665					
SRR10141032_2_val_2		31.231070500616852	46.0	141.57936323958512	10.0	1755731.0
SRR10141033_1	0.8700463697782429					
SRR10141033_1_val_1		14.901033854451057	44.0	144.65324699311446	10.0	1353560.0
SRR10141033_2	1.5793879566050588					
SRR10141033_2_val_2		14.993773892980371	43.0	144.56294660007683	10.0	1353560.0
SRR10141034_1	0.7606501979545883					
SRR10141034_1_val_1		19.244594481182304	44.0	145.09667569470213	10.0	1153444.0
SRR10141034_2	1.3363410655279981					
SRR10141034_2_val_2		19.27656435924628	44.0	145.02163173938223	10.0	1153444.0
SRR10141035_1	4.952307457891965					
SRR10141035_1_val_1		33.80149487225795	47.0	144.86999422565333	10.0	1181086.0
SRR10141035_2	6.747196228578871					
SRR10141035_2_val_2		33.20749087961032	46.0	143.96476801858628	10.0	1181086.0
SRR10141036_1	6.878200928083195					
SRR10141036_1_val_1		15.618797455456175	44.0	142.0857461499185	10.0	2158266.0
SRR10141036_2	8.043733842913525					
SRR10141036_2_val_2		15.410433284323346	44.0	141.51860243362032	10.0	2158266.0
SRR10141037_1	4.910181040910513					
SRR10141037_1_val_1		35.75769991496685	47.0	144.8844111084709	10.0	1986376.0
SRR10141037_2	6.2418649502703625					
SRR10141037_2_val_2		35.29544612688042	47.0	144.37053105756414	10.0	1986376.0
SRR10141038_1	5.666785826820472					
SRR10141038_1_val_1		34.42672983140393	47.0	143.85019105187948	10.0	2257502.0
SRR10141038_2	6.815653116894029					
SRR10141038_2_val_2		33.96642171486016	47.0	143.47644077391737	10.0	2257502.0
SRR10141039_1	4.089859948631839					
SRR10141039_1_val_1		25.23944865604038	48.0	145.18794964671892	9.090909090909092	1118656.0
SRR10141039_2	5.01936058004069					
SRR10141039_2_val_2		25.000235782955443	47.0	144.78069486955775	9.090909090909092	1118656.0
SRR10141040_1	3.4564799037384013					
SRR10141040_1_val_1		23.28374301016831	47.0	146.1792444741437	9.090909090909092	1469546.0
SRR10141040_2	4.287714902621139					
SRR10141040_2_val_2		23.23234391061139	46.0	145.85428697026157	9.090909090909092	1469546.0
SRR10141041_1	11.332840204567207					
SRR10141041_1_val_1		90.03056676504247	47.0	143.06371288321387	27.27272727272727	664120.0
SRR10141041_2	11.556282687378319					
SRR10141041_2_val_2		88.65506233813166	47.0	142.74485635126183	27.27272727272727	664120.0
SRR10141042_1	4.44118477338952					
SRR10141042_1_val_1		21.2400714587788	47.0	144.6656846338244	9.090909090909092	972812.0
SRR10141042_2	5.268538270787381					
SRR10141042_2_val_2		20.986990577638124	47.0	144.2790981196778	9.090909090909092	972812.0
SRR10141043_1	1.4653803306890807					
SRR10141043_1_val_1		28.187809070302166	47.0	124.08663988513364	9.090909090909092	1681258.0
SRR10141043_2	1.7773413185867122					
SRR10141043_2_val_2		28.216161993361837	47.0	123.89956449277862	9.090909090909092	1681258.0
SRR10141044_1	1.5106981055081232					
SRR10141044_1_val_1		27.436270419093262	48.0	124.03955980646847	9.090909090909092	1312241.0
SRR10141044_2	2.104045015597934					
SRR10141044_2_val_2		27.211818519563394	47.0	123.73723881512619	9.090909090909092	1312241.0
SRR10141045_1	1.3604475589748541					
SRR10141045_1_val_1		25.872886275221802	48.0	124.22484832008449	9.090909090909092	1530196.0
SRR10141045_2	1.766310729154691					
SRR10141045_2_val_2		25.99800983952784	47.0	124.01030325526926	9.090909090909092	1530196.0
SRR10141046_1	5.911331979352678					
SRR10141046_1_val_1		26.90507883361255	47.0	143.58240518659426	10.0	1305828.0
SRR10141046_2	7.233393229539657					
SRR10141046_2_val_2		26.6028540180304	47.0	143.07707982980912	10.0	1305828.0
