Sample	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs
SRR10141021	45074.0	40031.0	5045.0	1.97	0.0
SRR10141022	32812.0	28794.0	4018.0	2.05	0.0
SRR10141023	39746.0	35872.0	3875.0	1.98	0.0
SRR10141024	41326.0	37032.0	4295.0	2.03	0.0
SRR10141025	47289.0	42607.0	4682.0	1.96	0.0
SRR10141026	72243.0	65282.0	6966.0	1.73	0.0
SRR10141027	35299.0	30912.0	4388.0	2.05	0.0
SRR10141028	40647.0	36387.0	4260.0	2.04	0.0
SRR10141029	58790.0	52880.0	5911.0	1.96	0.0
SRR10141030	1599.0	1290.0	309.0	1.22	0.0
SRR10141031	46475.0	42242.0	4235.0	1.93	0.0
SRR10141032	63673.0	58100.0	5573.0	1.96	0.0
SRR10141033	97356.0	87391.0	9968.0	1.78	0.0
SRR10141034	69629.0	62502.0	7128.0	1.81	0.0
SRR10141035	34671.0	31705.0	2966.0	1.93	0.0
SRR10141036	146700.0	134182.0	12521.0	1.7	0.0
SRR10141037	62702.0	56636.0	6066.0	2.09	0.0
SRR10141038	84505.0	76255.0	8254.0	2.04	0.0
SRR10141039	56123.0	48776.0	7348.0	1.85	0.0
SRR10141040	70741.0	61331.0	9414.0	1.99	0.0
SRR10141041	2137.0	1703.0	434.0	1.15	0.0
SRR10141042	54001.0	46991.0	7012.0	1.9	0.0
SRR10141043	52822.0	47013.0	5812.0	2.26	0.0
SRR10141044	42118.0	37823.0	4295.0	2.04	0.0
SRR10141045	44669.0	39715.0	4955.0	2.25	0.0
SRR10141046	53973.0	48914.0	5060.0	2.13	0.0
SRR10141047	74809.0	67745.0	7064.0	2.07	0.0
SRR10141048	45206.0	40286.0	4920.0	2.21	0.0
SRR10141049	50649.0	45598.0	5052.0	2.11	0.0
SRR10141050	57525.0	51937.0	5589.0	2.03	0.0
SRR10141051	40445.0	36575.0	3871.0	2.13	0.0
SRR10141052	1563.0	1247.0	316.0	1.47	0.0
SRR10141053	68987.0	63053.0	5937.0	2.17	0.0
SRR10141054	191847.0	174586.0	17266.0	2.22	0.0
SRR10141055	61271.0	56096.0	5176.0	1.84	0.0
SRR10141056	74880.0	69748.0	5134.0	1.0	0.0
SRR10141057	82412.0	75055.0	7359.0	1.87	0.0
SRR10141058	23134.0	20664.0	2470.0	2.11	0.0
SRR10141059	33127.0	29554.0	3574.0	2.01	0.0
SRR10141060	97097.0	88695.0	8404.0	1.65	0.0
SRR10141061	58863.0	53669.0	5194.0	1.96	0.0
SRR10141062	61592.0	56248.0	5345.0	1.98	0.0
SRR10141063	1340.0	1080.0	260.0	1.38	0.0
SRR10141064	68333.0	62757.0	5576.0	1.74	0.0
SRR10141065	76554.0	70722.0	5833.0	1.22	0.0
SRR10141066	89427.0	83201.0	6231.0	1.19	0.0
SRR10141067	42406.0	37155.0	5254.0	2.11	0.0
SRR10141068	91392.0	83421.0	7972.0	1.67	0.0
SRR10141069	1626.0	1281.0	345.0	1.59	0.0
SRR10141070	1738.0	1402.0	336.0	1.47	0.0
SRR10141071	87539.0	80904.0	6636.0	1.45	0.0
SRR10141072	1540.0	1229.0	311.0	1.79	0.0
SRR10141073	3196.0	2517.0	679.0	1.31	0.0
SRR10141074	895.0	718.0	177.0	1.28	0.0
SRR10141075	1525.0	1252.0	273.0	1.6	0.0
SRR10141076	3002.0	2092.0	910.0	1.04	0.0
